Lastname,Firstname,Title,Sex,Series,Rating,Published,Finished,Owned
Walton, Jo,The Just City,F,Thessaly,3,2015,19/10/2019,1
Highsmith, Patricia,Ripley's Game,F,Ripley,4,1974,15/10/2019,1
Highsmith, Patricia,Ripley Under Ground,F,Ripley,3,1970,07/10/2019,1
Barker, Pat,The Silence of the Girls,F,,3,2018,30/09/2019,1
Hornung, EW,Raffles the Amateur Cracksman,M,,3,1901,29/09/2019,1
North, Claire,The First Fifteen Lives of Harry August,F,,2,2014,23/09/2019,0
Bennett, Robert Jackson,City of Stairs,M,Divine Cities,4,2014,21/09/2019,0
Morden, Simon,Equations of Life,M,Petrovich,2,2011,14/09/2019,0
Beard, Richard,Acts of the Assassins,M,,4,2015,10/09/2019,0
Powers, Tim,The Anubis Gates,M,,3,1983,06/09/2019,1
Taylor, Elizabeth,At Mrs Lippincote's,F,,2,1945,31/08/2019,1
McCulloch, Gretchen,Because Internet,F,,3,2019,25/08/2019,0
Hardy, Lucie McNight,Water Shall Refuse Them,F,,3,2019,22/08/2019,1
Miller, Sam J,Blackfish City,M,,4,2018,17/08/2019,0
Fitzgerald, Penelope,Human Voices,F,,2,1980,09/08/2019,0
Allan, Nina,The Rift,F,,4,2017,04/08/2019,0
Edugyan, Esi,Washington Black,F,,3,2018,29/07/2019,0
Atkinson, Kate,Transcription,F,,3,2018,23/07/2019,1
Aaronovitch, Ben,The Hanging Tree,M,Peter Grant,3,2016,17/07/2019,1
Hall, Sarah,The Electric Michaelangelo,F,,3,2005,15/07/2019,1
O'Donnell, Paraic,The House on Vesper Sands,M,,4,2018,06/07/2019,1
Rooney, Sally,Conversations With Friends,F,,4,2017,02/07/2019,1
Samatar, Sofia,The Winged Histories,F,Olondria,4,2016,29/06/2019,1
Wilson, G Willow,Alif the Unseen,F,,3,2012,28/06/2019,1
Lee, Yoon Ha,Ninefox Gambit,M,Machineries of Empire,2,2016,24/06/2019,1
Egan, Jennifer,The Invisible Circus,F,,3,1995,16/06/2019,0
Abercrombie, Joe,Half a War,M,Shattered Sea,4,2015,10/06/2019,0
Abercrombie, Joe,Half the World,M,Shattered Sea,4,2015,05/06/2019,0
Bennett, Robert Jackson,Foundryside,M,Founders,4,2018,01/06/2019,0
Atkinson, Kate,When WIll There Be Good News?,F,Jackson Brodie,3,2008,26/05/2019,1
Huang, R F,The Poppy War,F,,3,2018,23/05/2019,0
Miller, Madeline,Circe,F,,4,2018,16/05/2019,1
Abercrombie, Joe,Half a King,M,Shattered Sea,4,2014,13/05/2019,0
Highsmith, Patricia,The Talented Mr Ripley,F,Tom Ripley,4,1955,08/05/2019,0
Herron, Mick,Dead Lions,M,Slough House,3,2013,03/05/2019,0
Fitzgerald, Penelope,At Freddie's,F,,3,1982,01/05/2019,0
Liu, Ken,The Grace of Kings,M,,2,2015,28/04/2019,0
Baker, Dorothy,Cassandra at the Wedding,F,,4,1962,26/04/2019,0
Allan, Nina,The Race,F,,3,2014,17/04/2019,0
Dunmore, Helen,The Betrayal,F,,4,2010,13/04/2019,0
Herron, Mick,Slow Horses,M,Slough House,3,2010,06/04/2019,0
Palmer, Ada,Seven Surrenders,F,Terrra Ignota,2,2017,03/04/2019,0
Harvey, Samantha,The Western Wind,F,,3,2018,29/03/2019,0
Herron, Mick,Nobody Walks,M,,3,2015,22/03/2019,0
Dunmore, Helen,Exposure,F,,3,2016,19/03/2019,0
Reynolds, Alastair,Aurora Rising,M,Dreyfus,3,2007,17/03/2019,1
Jackson, Shirley,We Have Always Lived in the Castle,F,,4,1962,08/03/2019,0
North, Claire,84k,F,,3,2018,05/03/2019,1
Johnson, Daisy,Fen,F,,4,2016,02/03/2019,0
Palmer, Ada,Too Like The Lightning,F,Terra Ignota,3,2016,23/02/2019,0
Atkinson, Kate,One Good Turn,F,Jackson Brodie,3,2007,15/02/2019,1
Harkaway, Nick,Gnomon,M,,3,2017,09/02/2019,1
VanderMeer, Jeff,Acceptance,M,Southern Reach,3,2014,05/02/2019,0
Batuman, Elif,The Idiot,F,,3,2017,23/01/2019,0
Mieville, China,This Census Taker,M,,4,2016,10/01/2019,0
Gibson, William,Spook Country,M,Blue Ant,4,2007,09/01/2019,1
Fitzgerald, Penelope,The Means of Escape,F,,3,2001,04/01/2019,0
Bradbury, Ray,Golden Apples of the Sun,M,,2,1953,28/12/2018,1
Harris, Jane,Sugar Money,F,,4,2017,21/12/2018,0
Piercy, Marge,"He, She and It",F,,4,1992,16/12/2018,1
Perry, Sarah,After Me Comes the Flood,F,,3,2014,14/12/2018,0
Newitz, Annalee,Autonomous,F,,3,2017,04/12/2018,0
Atkinson, Kate,Case Histories,F,Jackson Brodie,4,2004,28/11/2018,0
Morgenstein, Erin,The Night Circus,F,,4,2011,20/11/2018,0
Le Guin, Ursula K,The Dispossessed,F,,4,1974,15/11/2018,0
Griffin, Kate,A Madness of Angels,F,,2,2008,09/11/2018,0
Atwood, Margaret,Murder in the Dark,F,,3,1983,30/10/2018,0
Hall, Sarah,Madame Zero,F,,3,2017,26/10/2018,0
Harrison, Melissa,At Hawthorn Time,F,,3,2015,20/10/2018,0
North, Claire,The Sudden Appearance of Hope,F,,4,2016,13/10/2018,0
Le Guin, Ursula K,Tehanu,F,Earthsea,4,1990,07/10/2018,1
Comyns, Barbara,Sisters by a River,F,,3,1947,02/10/2018,0
North, Claire,The End of the Day,F,,5,2017,23/09/2018,0
Cargill, C Robert,Sea of Rust,M,,3,2017,21/09/2018,1
Ringland, Holly,The Lost Flowers of Alice Hart,F,,4,2018,15/09/2018,1
Du Maurier, Daphne,Jamaica Inn ,F,,3,1936,04/09/2018,1
Corey, James M,Cibola Burn,M,Expanse,3,2014,27/08/2018,0
Butler, Octavia,Kindred,F,,4,1979,23/08/2018,0
Gilman, Felix,The Rise of Ransom City,M,,3,2012,20/08/2018,1
Hall, Sarah,The Wolf Border,F,,4,2015,18/08/2018,1
Mieville, China,The Last Days of New Paris,M,,3,2016,07/08/2018,0
Leckie, Ann,Provenance,F,,3,2017,01/08/2018,1
Kingsolver, Barbara,The Poisonwood Bible,F,,3,1998,26/07/2018,0
Harris, Joanne,Different class,F,,3,2016,20/07/2018,0
Kidd, Jess,The Hoarder,F,,4,2018,12/07/2018,0
Taylor, Laini,Daughter of Smoke and Bone,F,,3,2011,03/07/2018,0
Perry, Sarah,The Essex Serpent,F,,4,2016,30/06/2018,0
Egan, Jennifer,Manhattan Beach,F,,4,2017,17/06/2018,1
Samatar, Sofia,A Stranger in Olondria,F,,5,2013,12/06/2018,1
Hearn, Lian,Emperor of the Eight Islands,F,,3,2016,08/06/2018,0
Spark, Muriel,The Comforters,F,,3,1957,03/06/2018,0
Spark, Muriel,The Public Image,F,,4,1968,28/05/2018,0
Shaw, Ali,The Trees,M,,2,2016,25/05/2018,1
Gibson, William,Archangel,M,,2,2017,19/05/2018,1
McInerney, Lisa,The Blood Miracles,F,,4,2017,16/05/2018,0
Wallace, Jon,Barricade,M,,4,2014,12/05/2018,0
Ashworth, Jenn,Fell,F,,4,2016,09/05/2018,0
O'Neil, Cathy,Weapons of Math Destruction,F,,3,2016,07/05/2018,1
Priest, Cherie,Boneshaker,F,,3,2009,27/04/2018,1
Egan, Jennifer,The Keep,F,,3,2006,23/04/2018,1
Hall, Sarah,The Carhullan Army,F,,4,2008,13/04/2018,1
Smith, Zadie,The Autograph Man,F,,3,2002,08/04/2018,0
Williams, Jen,The Silver Tide,F,,2,2016,29/03/2018,0
Atwood, Margaret,Lady Oracle,F,,3,1976,20/03/2018,0
Morrison, Toni,Sula,F,,3,1973,09/03/2018,0
St John Mandel, Emily,Station 11,F,,3,2014,04/03/2018,0
Newman, Peter,The Vagrant,M,,4,2015,02/03/2018,1
Sullivan, Tricia,Occupy me,F,,3,2016,21/02/2018,1
Le Guin, Ursula K,The Farthest Shore,F,,4,1973,17/02/2018,1
Atkinson, Kate,Behind the scenes at the museum,F,,3,1995,14/02/2018,0
Jemisin, NK,The Obelisk Gate,F,,4,2016,31/01/2018,1
Reynolds, Alastair,Revenger,M,,3,2016,24/01/2018,0
Smith, Zadie,Swing Time,F,,4,2009,17/01/2018,0
Le Guin, Ursula K,The Tombs of Atuan,F,,4,1970,13/01/2018,1
Baker, Mishell,Borderline,F,,3,2016,04/01/2018,1
Le Guin, Ursula K,A Wizard of Earthsea,F,,4,1968,30/12/2017,1
Geen, Emma,The Many Selves of Katherine North,F,,2,2016,26/12/2017,0
Okorafor, Nnedi,The Book of Phoenix,F,,3,2015,22/12/2017,0
Allingham, Margery,Coroner's Pidgin,F,,3,1945,18/12/2017,1
Proulx, Annie,The Shipping News,F,,4,1993,09/12/2017,0
Canavan, Trudi,Magician's Guild,F,,2,2004,03/12/2017,0
de Bodard, Aliette,House of Binding Thorns,F,,4,2017,26/11/2017,1
Reynolds, Alastair,House of Suns,M,,3,2008,10/11/2017,1
Jemisin, NK,The Fifth Season,F,,4,2015,08/11/2017,1
Allingham, Margery,Black Plumes,F,,2,1940,28/10/2017,1
Tempest, Kate,The Bricks That Built the Houses,F,,4,2016,27/10/2017,0
Richards, Jess,City of Circles,F,,2,2017,20/10/2017,0
Mitchell, David,Slade House,M,,3,2015,17/10/2017,1
Mitford, Nancy,The Pursuit of Love,F,,3,1945,12/10/2017,1
Kidd, Jess,Himself,F,,4,2016,06/10/2017,0
Corey, James M,Abaddon's Gate,M,,3,2013,06/10/2017,1
Itäranta, Emmi ,City of Woven Streets,F,,2,2015,26/09/2017,0
Alderman, Naomi,The Power,F,,5,2016,18/09/2017,1
Tey, Josephine,The Daughter of Time,F,,3,1951,16/09/2017,1
Miller, Madeline,The Song of Achilles,F,,4,2011,12/09/2017,0
Stephenson, Neal,Snow Crash,M,,2,2000,08/09/2017,1
Allingham, Margery,Mystery Mile,F,,3,1930,01/09/2017,1
Ali, Monica,Brick Lane,F,,3,2003,24/08/2017,0
Atkinson, Kate,Emotionally Weird,F,,3,2001,15/08/2017,0
Cadigan, Pat,Synners,F,,3,1991,01/08/2017,1
Gibson, William,Pattern Recognition,M,,4,2003,29/07/2017,1
Murdoch, Iris,The Time of the Angels,F,,3,1966,18/07/2017,1
Powers, Tim,Declare,M,,2,2001,10/07/2017,1
St John Mandel, Emily,Last Night in Montreal,F,,3,2009,03/07/2017,0
Corey, James M,Caliban's War,M,,3,2016,23/06/2017,1
Corey, James M,Leviathan Wakes,M,,3,2015,10/06/2017,1
Abercrombie, Joe,The Heroes,M,,4,2011,29/05/2017,1
Rankin, Ian,Saints of the Shadow Bible,M,,3,2014,20/05/2017,0
McKenzie, Elizabeth,The Portable Veblen,F,,3,2016,12/05/2017,0
Robson, Justina,Glorious Angels,F,,3,2015,05/05/2017,1
Anders, Charlie Jane,All the Birds in the Sky,F,,1,2016,20/04/2017,1
VanderMeer, Jeff,Authority,M,,3,2014,19/04/2017,0
Underdown, Beth,The Witchfinder's Sister,F,,4,2017,09/04/2017,1
Wasserberg, Eleanor,Foxlowe,F,,4,2016,01/04/2017,1
Williams, Jen,The Iron Ghost,F,,3,2015,24/03/2017,0
Harrison, Melissa,Clay,F,,3,2013,17/03/2017,0
Mantel, Hillary,Wolf Hall,F,,4,2009,15/03/2017,1
Winterson, Jeanette,The Gap of Time,F,,4,2015,10/03/2017,1
McKillip, Patricia A,Ombria in Shadow,F,,4,2002,06/03/2017,1
Atwood, Margaret,Hag-Seed,F,,3,2016,24/02/2017,0
Atwood, Margaret,The Heart Goes Last,F,,3,2015,18/02/2017,0
Willians, Jen,The Copper Promise,F,,3,2014,18/02/2017,0
Mendelson, Charlotte,Almost English,F,,2,2013,10/02/2017,0
McInerney, Lisa,The Glorious Heresies,F,,4,2015,02/02/2017,0
Tuttle, Lisa,The Mysteries,F,,3,2005,28/01/2017,0
Fagan, Jenni,The Panopticon,F,,4,2012,21/01/2017,0
de Bodard, Aliette,House of Shattered Wings,F,,4,2015,08/01/2017,1
Bude, John,The Cheltenham Square Murder,M,,3,1937,29/12/2016,1
Verne, Jules,Round the World in 80 Days,M,,1,1873,26/12/2016,1
Sharpe, Tom,Porterhouse Blue,M,,3,1974,18/12/2016,0
Winterson, Jeanette,Oranges Aren't the Only Fruit,F,,3,1985,14/12/2016,0
Link, Kelly,Get in Trouble,F,,4,2015,10/12/2016,0
Chambers, Becky,The Long Way To A Small Angry Planet,F,,2,2014,06/12/2016,0
Danielewski, Mark Z,House of Leaves,M,,2,2000,03/12/2016,1
Wilson, DW,Once You Break a Knuckle,M,,4,2011,26/11/2016,0
Lord, Karen,The Galaxy Game,F,,1,2014,20/11/2016,0
Waters, Sarah,The Night Watch,F,,3,2006,19/11/2016,1
Jacobson, Howard,Shylock Is My Name,M,,3,2016,03/11/2016,0
Cox, Edward,The Relic Guild,M,,2,2014,29/10/2016,0
VanderMeer, Jeff,Annihilation,M,Southern Reach,3,2014,26/10/2016,1
Thomas, Scarlett,The Seed Collectors,F,,3,2015,19/10/2016,0
Mitchell, David,Black Swan Green,M,,4,2006,07/10/2016,1
Gilman, Felix,The Half-Made World,M,,3,2010,28/09/2016,1
Barker, Susan,The Incarnations,F,,3,2014,16/09/2016,0
Koch, Rudolph,The Book of Signs,M,,2,1930,16/09/2016,0
Shukla, Nikesh,Meatspace,M,,3,2014,07/09/2016,0
Liu, Cixin,The Three-Body Problem,M,,1,2008,28/08/2016,0
Macfarlane, Robert,The Wild Places,M,,4,2007,25/08/2016,1
Various,,One City,M,,2,2006,22/08/2016,1
Ironmonger, John,Not Forgetting the Whale,M,,3,2015,20/08/2016,0
Lord, Karen,The Best of All Possible Worlds,F,,3,2013,14/08/2016,0
Eco, Umberto,The Book of Legendary Lands,M,,4,2013,12/08/2016,1
O'Connell, Paraic,The Maker of Swans,M,,4,2016,06/08/2016,0
Faber, Michel,Under the Skin,M,,4,2000,17/07/2016,1
Abercrombie, Joe,Best Served Cold,M,First Law World,4,2009,09/07/2016,1
Atwood, Margaret,Moral Disorder and Other Stories,F,,3,2006,07/07/2016,0
Hobb, Robin,Assassin's Quest,F,Farseer,3,1997,22/06/2016,0
McAuley, Paul,Into Everywhere,M,Jackaroo,4,2016,20/06/2016,0
Abercrombie, Joe,Before They Are Hanged,M,The First Law,4,2007,22/05/2016,1
Abercrombie, Joe,Last Argument of Kings,M,The First Law,4,2008,22/05/2016,1
Reynolds, Alastair,On the Steel Breeze,M,Poseidon's Children,2,2013,12/05/2016,0
Kushner, Rachel,The Flamethrowers,F,,3,2013,11/05/2016,0
Vaughan, Brian K.,"Saga, Volume 4",M,,3,2015,28/04/2016,
Hutchinson, Dave,Europe in Autumn,M,Fractured Europe,4,2014,20/04/2016,0
Wilson, D.W.,Ballistics,M,,5,2013,16/04/2016,0
Hobb, Robin,Royal Assassin ,F,Farseer,4,1996,15/04/2016,0
Unsworth, Emma Jane,Animals,F,,4,2014,26/03/2016,0
Hobb, Robin,Assassin's Apprentice,F,Farseer,3,1995,19/03/2016,0
Vaughan, Brian K.,"Saga, Volume 2",M,,4,2013,12/03/2016,1
Byatt, A.S.,The Game,F,,3,1967,12/03/2016,0
Vaughan, Brian K.,"Saga, Volume 3",M,,3,2014,28/02/2016,1
Fox, Essie,The Goddess and the Thief,F,,3,2013,13/02/2016,0
Orczy, Emmuska,The Scarlet Pimpernel,F,,2,1905,06/02/2016,1
Powers, Tim,Hide Me Among the Graves,M,,4,2012,04/02/2016,0
Vaughan, Brian K.,"Saga, Volume 1",M,,4,2012,28/01/2016,1
McCarthy, Tom,Satin Island,M,,2,2015,26/01/2016,0
Aickman, Robert,Cold Hand in Mine,M,,2,1975,17/01/2016,0
Bailey, F.M.,Mission To Tashkent,M,,3,1946,13/01/2016,1
Lynch, Scott,The Republic of Thieves,M,Gentleman Bastards,4,2013,03/01/2016,0
Leckie, Ann,Ancillary Mercy ,F,Imperial Radch,4,2015,21/12/2015,1
Tevis, Walter,The Man Who Fell to Earth,M,,3,1963,21/12/2015,1
Leckie, Ann,Ancillary Sword,F,Imperial Radch,3,2014,12/12/2015,1
Eggers, Dave,The Circle,M,,4,2013,04/12/2015,0
Egan, Jennifer,Look at Me,F,,4,2001,01/12/2015,0
Priest, Christopher,Indoctrinaire,M,,2,1970,20/11/2015,0
Setterfield, Diane,Bellman & Black,F,,2,2013,14/11/2015,0
Faber, Michel,The Book of Strange New Things,M,,3,2014,06/11/2015,0
Padua, Sydney,The Thrilling Adventures of Lovelace and Babbage,F,,4,2015,26/10/2015,0
Powers, Richard,Orfeo,M,,3,2014,20/10/2015,1
Spark, Muriel,Memento Mori,F,,4,1958,12/10/2015,0
Taylor, Sam,The Island at the End of the World,M,,4,2009,09/10/2015,0
Berry, Jedediah,The Manual of Detection,M,,3,2009,03/10/2015,1
Grossman, Lev,Codex,M,,2,2004,03/10/2015,0
Bradley, James,Wrack,M,,3,1997,25/09/2015,1
Nelson, Willie,It's a Long Story: My Life,M,,3,2015,20/09/2015,0
Gibson, William,The Peripheral,M,,4,2014,15/09/2015,1
DeLillo, Don,Great Jones Street,M,,3,1973,05/09/2015,1
Rosen, Michael,Alphabetical: How Every Letter Tells a Story,M,,3,2013,03/09/2015,1
Richards, Jess,Cooking With Bones,F,,3,2013,27/08/2015,0
Spark, Muriel,The Bachelors,F,,3,1960,17/08/2015,1
Greene, Graham,The Confidential Agent,M,,3,1939,13/08/2015,0
Rothfuss, Patrick,The Name of the Wind,M,Kingkiller Chronicle,3,2007,06/08/2015,0
Richards, Jess,Snake Ropes,F,,3,2012,28/07/2015,0
Aaronovitch, Ben,Foxglove Summer,M,Peter Grant,3,2014,18/07/2015,1
Wood, Lucy,Weathering,F,,4,2015,17/07/2015,0
Leckie, Ann,Ancillary Justice,F,Imperial Radch,4,2013,04/07/2015,1
Thaler, Richard H.,"Nudge: Improving Decisions About Health, Wealth, and Happiness",M,,3,2008,04/07/2015,1
Miéville, China,King Rat,M,,4,1998,29/06/2015,0
Wood, Benjamin,The Bellwether Revivals,M,,3,2012,26/06/2015,0
Stross, Charles,The Apocalypse Codex ,M,Laundry Files,3,2012,17/06/2015,0
Gilman, Felix,The Revolutions,M,,4,2014,09/06/2015,0
Twigger, Robert,Dr Ragab's Universal Language,M,,2,2009,30/05/2015,0
Amis, Kingsley,The Green Man,M,,3,1969,24/05/2015,0
Beauman, Ned,Glow,M,,3,2014,12/05/2015,0
Calvino, Italo,Under the Jaguar Sun,M,,2,1986,05/05/2015,0
Macfarlane, Robert,The Old Ways: A Journey on Foot,M,,5,2012,01/05/2015,1
McAuley, Paul,Something Coming Through,M,Jackaroo,4,2015,28/04/2015,0
Lynch, Scott,Red Seas Under Red Skies,M,Gentleman Bastards,4,2007,24/04/2015,1
McCarthy, Tom,Men in Space,M,,4,2007,17/04/2015,0
Mitchell, David,The Bone Clocks,M,,4,2014,10/04/2015,0
Zindell, David,Neverness,M,,2,1988,03/04/2015,1
Sullivan, Tricia,Lightborn,F,,4,2010,22/03/2015,0
Gissing, George,New Grub Street,M,,3,1891,11/03/2015,0
Ironmonger, John,The Coincidence Authority,M,,3,2012,20/02/2015,0
Ironmonger, John,The Notable Brain of Maximilian Ponder,M,,5,2012,10/02/2015,0
Ahmed, Saladin,Throne of the Crescent Moon,M,,3,2012,01/02/2015,0
Sloan, Robin,Mr. Penumbra's 24-Hour Bookstore,M,,3,2009,27/01/2015,0
Roberts, Adam,By Light Alone,M,,3,2011,23/01/2015,0
Peake, Mervyn,Mr Pye,M,,4,1953,15/01/2015,0
Grimwood, Jonathan,The Last Banquet,M,,3,2013,07/01/2015,0
Dickens, Charles,Oliver Twist,M,,3,1838,03/01/2015,0
Atwood, Margaret,MaddAddam,F,MaddAddam,3,2013,14/12/2014,0
Smith, Zadie,NW,F,,4,2012,08/12/2014,0
Pinker, Steven,The Sense of Style: The Thinking Person's Guide to Writing in the 21st Century,M,,3,2014,29/11/2014,1
Le Guin, Ursula K,The Left Hand of Darkness,F,,4,1969,25/11/2014,0
Saunders, George,Tenth of December,M,,4,2013,13/11/2014,0
Abercrombie, Joe,Red Country,M,First Law World,4,2012,09/11/2014,0
Blundy, Anna,The Bad News Bible,F,,2,2004,30/10/2014,0
Harkaway, Nick,Tigerman,M,,4,2014,24/10/2014,0
Lynch, Paul,Red Sky in Morning,M,,3,2013,18/10/2014,0
Chabon, Michael,Telegraph Avenue,M,,2,2012,16/10/2014,1
Atkinson, Kate,Life After Life,F,,4,2013,13/10/2014,0
Aaronovitch, Ben,Broken Homes ,M,Peter Grant,3,2013,04/10/2014,0
Link, Kelly,Pretty Monsters: Stories,F,,4,2008,30/09/2014,0
Harrison, M. John,The Centauri Device,M,,4,1974,24/09/2014,0
